City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,283.21,62,75,12.35,CL,1728769553
1,talnakh,69.4865,88.3972,267.17,94,100,4.2,RU,1728769316
2,iqaluit,63.7506,-68.5145,277.0,80,75,4.63,CA,1728769555
3,papatowai,-46.5619,169.4708,279.72,82,99,3.2,NZ,1728769556
4,edinburgh of the seven seas,-37.0676,-12.3116,286.23,76,57,4.68,SH,1728769558
5,waitangi,-43.9535,-176.5597,284.72,99,100,4.47,NZ,1728769559
6,broome,42.2506,-75.833,287.4,59,72,1.95,US,1728769560
7,san agustin de valle fertil,-30.6335,-67.4682,295.17,49,96,3.37,AR,1728769562
8,port-aux-francais,-49.35,70.2167,276.26,83,97,10.07,TF,1728769563
9,viedma,-40.8135,-62.9967,290.08,20,41,3.29,AR,1728769542
10,newman,37.3138,-121.0208,300.39,46,0,4.02,US,1728769565
11,mazagao,-0.115,-51.2894,302.25,61,65,4.86,BR,1728769566
12,ilulissat,69.2167,-51.1,271.16,50,0,1.03,GL,1728769567
13,kaiapoi,-43.3783,172.6401,283.76,92,75,3.6,NZ,1728769569
14,adamstown,-25.066,-130.1015,294.33,81,98,4.85,PN,1728769570
15,kodiak,57.79,-152.4072,278.88,87,100,3.6,US,1728769571
16,longyearbyen,78.2186,15.6401,277.06,75,75,6.17,SJ,1728769572
17,dadukou,26.5479,101.7054,291.74,97,76,0.27,CN,1728769573
18,windsor,42.3001,-83.0165,291.2,63,0,4.12,CA,1728769325
19,keflavik,64.0049,-22.5624,273.39,47,0,3.6,IS,1728769575
20,puerto ayacucho,5.6639,-67.6236,297.62,96,63,6.17,VE,1728769576
21,sos'va,59.1766,61.8558,269.18,77,30,2.34,RU,1728769577
22,suwayr,30.1171,40.3893,298.57,20,0,2.11,SA,1728769578
23,guiyang,26.5833,106.7167,290.42,94,100,2.0,CN,1728769434
24,smithers,54.7804,-127.1743,286.33,54,75,4.12,CA,1728769581
25,crane,31.3974,-102.3501,307.4,10,0,5.3,US,1728769582
26,urangan,-25.3,152.9,294.55,66,97,6.48,AU,1728769583
27,caleta de carquin,-11.0925,-77.6267,292.22,79,76,4.22,PE,1728769584
28,ayorou,14.7308,0.9174,307.55,21,100,2.77,NE,1728769586
29,port mathurin,-19.6833,63.4167,295.54,71,100,9.74,MU,1728769587
30,kalispell,48.1958,-114.3129,292.87,36,0,2.68,US,1728769588
31,hermanus,-34.4187,19.2345,285.82,86,0,3.02,ZA,1728769589
32,udachny,66.4167,112.4,252.98,99,91,1.63,RU,1728769590
33,margaret river,-33.95,115.0667,282.89,91,10,3.36,AU,1728769592
34,blackmans bay,-43.0167,147.3167,284.67,63,59,0.45,AU,1728769593
35,namibe,-15.1961,12.1522,294.22,81,32,1.69,AO,1728769594
36,tonekabon,36.8163,50.8738,294.12,90,86,0.45,IR,1728769595
37,yellowknife,62.456,-114.3525,280.05,90,23,2.24,CA,1728769596
38,guerrero negro,27.9769,-114.0611,299.88,49,0,6.06,MX,1728769597
39,marsa alam,25.0757,34.8918,300.28,46,0,0.97,EG,1728769598
40,hamilton,39.1834,-84.5333,298.92,50,0,3.6,US,1728769459
41,olinala,17.8333,-98.85,296.95,57,100,1.34,MX,1728769600
42,thompson,55.7435,-97.8558,283.24,71,75,1.54,CA,1728769602
43,beloyarskiy,63.7119,66.6722,274.01,55,100,4.99,RU,1728769603
44,isafjordur,66.0755,-23.124,271.06,78,40,1.85,IS,1728769604
45,ipameri,-17.7219,-48.1597,294.79,89,91,2.4,BR,1728769605
46,kosciusko,33.0576,-89.5876,300.81,36,0,1.51,US,1728769606
47,stornoway,58.2093,-6.3865,277.13,84,40,6.17,GB,1728769607
48,lumut,4.2323,100.6298,297.16,94,20,0.0,MY,1728769608
49,at taraf,25.3628,49.725,302.45,69,0,1.87,SA,1728769609
50,chernyshevskiy,63.0128,112.4714,262.63,93,71,1.32,RU,1728769610
51,belel,7.05,14.4333,289.16,92,67,0.68,CM,1728769611
52,ushuaia,-54.8,-68.3,281.96,49,40,6.69,AR,1728769388
53,grytviken,-54.2811,-36.5092,273.78,85,100,2.28,GS,1728769614
54,stanley,54.868,-1.6985,278.86,83,20,5.66,GB,1728769612
55,arteche,12.2645,125.4048,298.79,90,97,0.68,PH,1728769616
56,yokadouma,3.5167,15.05,294.13,99,98,0.5,CM,1728769617
57,bethel,41.3712,-73.414,295.2,18,0,3.09,US,1728769618
58,jamestown,42.097,-79.2353,289.95,51,0,4.12,US,1728769619
59,kingston,17.997,-76.7936,304.91,74,20,7.72,JM,1728769478
60,puerto natales,-51.7236,-72.4875,284.4,54,75,10.8,CL,1728769621
61,colonia,50.9333,6.95,284.89,91,40,2.57,DE,1728769622
62,laguna,38.421,-121.4238,300.4,52,0,2.06,US,1728769623
63,dunda,-8.1167,34.25,293.18,57,8,1.17,TZ,1728769624
64,la passe,45.5549,-0.8967,290.01,87,40,0.13,FR,1728769626
65,perelyub,51.8667,50.3667,274.57,60,0,3.83,RU,1728769627
66,chokwe,-24.5333,32.9833,296.47,67,0,2.33,MZ,1728769628
67,usogorsk,63.4106,48.6872,275.83,59,100,4.98,RU,1728769629
68,tralee,52.2704,-9.7026,278.69,81,100,1.61,IE,1728769630
69,tejen,37.3834,60.5054,292.28,35,97,2.6,TM,1728769631
70,ola,59.5833,151.2833,274.25,95,100,4.2,RU,1728769632
71,invercargill,-46.4,168.35,280.94,90,86,0.45,NZ,1728769462
72,buka,40.8108,69.1986,291.11,32,100,1.15,UZ,1728769634
73,hadibu,12.65,54.0333,299.53,77,99,0.77,YE,1728769635
74,talcahuano,-36.7167,-73.1167,287.97,63,0,8.23,CL,1728769636
75,anjar,23.1333,70.0167,299.28,70,100,2.52,IN,1728769638
76,constantia,44.1833,28.65,284.65,70,79,7.18,RO,1728769455
77,hawaiian paradise park,19.5933,-154.9731,301.41,72,40,3.09,US,1728769640
78,solnechnyy,50.7214,136.6319,274.11,56,0,1.75,RU,1728769641
79,ketchikan,55.3422,-131.6461,286.67,82,100,10.8,US,1728769355
80,jiangzi,28.95,89.6333,273.69,69,0,1.96,CN,1728769644
81,bilibino,68.0546,166.4372,260.65,82,100,1.28,RU,1728769645
